NAME,club_name,league_name,x,value_eur,RATIING,potential,wage_eur,age,dob,height_cm,weight_kg,club_position
Á. Di María,Paris Saint-Germain,French Ligue 1,1,49500000,87,87,160000,33,1988-02-14,180,69,SUB
W. Szczęsny,Juventus,Italian Serie A,1,42000000,87,87,105000,31,1990-04-18,195,90,GK
T. Müller,FC Bayern München,German 1. Bundesliga,1,66000000,87,87,140000,31,1989-09-13,185,76,CAM
C. Immobile,Lazio,Italian Serie A,1,67500000,87,87,125000,31,1990-02-20,185,85,ST
P. Pogba,Manchester United,English Premier League,1,79500000,87,87,220000,28,1993-03-15,191,84,RDM
M. Verratti,Paris Saint-Germain,French Ligue 1,1,79500000,87,87,155000,28,1992-11-05,165,60,LCM
Marquinhos,Paris Saint-Germain,French Ligue 1,1,90500000,87,90,135000,27,1994-05-14,183,75,RCB
L. Goretzka,FC Bayern München,German 1. Bundesliga,1,93000000,87,88,140000,26,1995-02-06,189,82,LDM
P. Dybala,Juventus,Italian Serie A,1,93000000,87,88,160000,27,1993-11-15,177,75,CAM
A. Robertson,Liverpool,English Premier League,1,83500000,87,88,175000,27,1994-03-11,178,64,LB
F. de Jong,FC Barcelona,Spain Primera Division,1,119500000,87,92,210000,24,1997-05-12,180,74,RCM
T. Alexander-Arnold,Liverpool,English Premier League,1,114000000,87,92,150000,22,1998-10-07,180,69,RB
J. Sancho,Manchester United,English Premier League,1,116500000,87,91,150000,21,2000-03-25,180,76,LM
Rúben Dias,Manchester City,English Premier League,1,102500000,87,91,170000,24,1997-05-14,187,82,RCB
G. Chiellini,Juventus,Italian Serie A,1,12000000,86,86,88000,36,1984-08-14,187,85,SUB
S. Handanovič,Inter,Italian Serie A,1,7500000,86,86,78000,36,1984-07-14,193,92,GK
M. Hummels,Borussia Dortmund,German 1. Bundesliga,1,44000000,86,86,95000,32,1988-12-16,191,96,LCB
Jordi Alba,FC Barcelona,Spain Primera Division,1,47000000,86,86,200000,32,1989-03-21,170,68,LB
Thiago,Liverpool,English Premier League,1,65000000,86,86,180000,30,1991-04-11,174,70,LCM
Sergio Busquets,FC Barcelona,Spain Primera Division,1,45000000,86,86,200000,32,1988-07-16,189,76,CDM
Parejo,Villarreal CF,Spain Primera Division,1,53500000,86,86,64000,32,1989-04-16,182,74,LCM
K. Casteels,VfL Wolfsburg,German 1. Bundesliga,1,52000000,86,87,88000,29,1992-06-25,197,86,GK
L. Insigne,Napoli,Italian Serie A,1,65500000,86,86,125000,30,1991-06-04,163,59,LW
K. Koulibaly,Napoli,Italian Serie A,1,55500000,86,86,105000,30,1991-06-20,187,89,LCB
R. Varane,Manchester United,English Premier League,1,68500000,86,88,180000,28,1993-04-25,191,81,RCB
R. Mahrez,Manchester City,English Premier League,1,65500000,86,86,220000,30,1991-02-21,179,67,RW
Gerard Moreno,Villarreal CF,Spain Primera Division,1,68000000,86,86,73000,29,1992-04-07,180,77,RS
J. Vardy,Leicester City,English Premier League,1,33000000,86,86,180000,34,1987-01-11,179,74,ST
Fabinho,Liverpool,English Premier League,1,73500000,86,88,165000,27,1993-10-23,188,78,CDM
João Cancelo,Manchester City,English Premier League,1,71500000,86,87,185000,27,1994-05-27,182,74,LB
A. Laporte,Manchester City,English Premier League,1,77000000,86,89,185000,27,1994-05-27,191,85,LCB
K. Coman,FC Bayern München,German 1. Bundesliga,1,81000000,86,87,120000,25,1996-06-13,180,76,SUB
Bernardo Silva,Manchester City,English Premier League,1,80000000,86,87,200000,26,1994-08-10,173,64,SUB
Marcos Llorente,Atlético de Madrid,Spain Primera Division,1,88000000,86,89,95000,26,1995-01-30,184,74,RM
Rodri,Manchester City,English Premier League,1,81000000,86,89,175000,25,1996-06-22,191,82,CDM
M. Škriniar,Inter,Italian Serie A,1,74000000,86,88,150000,26,1995-02-11,188,80,RCB
A. Gómez,Sevilla FC,Spain Primera Division,1,33500000,85,85,51000,33,1988-02-15,167,68,LCM
K. Schmeichel,Leicester City,English Premier League,1,9000000,85,85,115000,34,1986-11-05,189,89,GK
Thiago Silva,Chelsea,English Premier League,1,9500000,85,85,105000,36,1984-09-22,183,79,SUB
David Silva,Real Sociedad,Spain Primera Division,1,22000000,85,85,44000,35,1986-01-08,173,67,CAM
Y. Sommer,Borussia Mönchengladbach,German 1. Bundesliga,1,26500000,85,85,40000,32,1988-12-17,183,79,GK
E. Cavani,Manchester United,English Premier League,1,26000000,85,85,190000,34,1987-02-14,185,77,SUB
E. Hazard,Real Madrid CF,Spain Primera Division,1,52000000,85,85,240000,30,1991-01-07,175,74,LW
L. Bonucci,Juventus,Italian Serie A,1,17500000,85,85,110000,34,1987-05-01,190,85,RCB
P. Gulácsi,RB Leipzig,German 1. Bundesliga,1,28500000,85,85,87000,31,1990-05-06,191,86,GK
İ. Gündoğan,Manchester City,English Premier League,1,51500000,85,85,185000,30,1990-10-24,180,80,LCM
M. Reus,Borussia Dortmund,German 1. Bundesliga,1,43000000,85,85,95000,32,1989-05-31,180,71,CAM
K. Walker,Manchester City,English Premier League,1,39000000,85,85,170000,31,1990-05-28,183,83,RB
P. Aubameyang,Arsenal,English Premier League,1,43500000,85,85,145000,32,1989-06-18,187,80,ST
Koke,Atlético de Madrid,Spain Primera Division,1,52500000,85,85,90000,29,1992-01-08,176,75,RCM
A. Griezmann,Atlético de Madrid,Spain Primera Division,1,53000000,85,85,220000,30,1991-03-21,176,73,LS
S. de Vrij,Inter,Italian Serie A,1,45000000,85,85,145000,29,1992-02-05,189,78,CB
Roberto Firmino,Liverpool,English Premier League,1,54000000,85,85,185000,29,1991-10-02,181,76,CF
M. Depay,FC Barcelona,Spain Primera Division,1,63000000,85,86,220000,27,1994-02-13,176,78,LW
Carvajal,Real Madrid CF,Spain Primera Division,1,47500000,85,85,210000,29,1992-01-11,173,73,RB
Jorginho,Chelsea,English Premier League,1,52500000,85,85,170000,29,1991-12-20,180,68,LCM
S. Gnabry,FC Bayern München,German 1. Bundesliga,1,64500000,85,86,110000,25,1995-07-14,176,77,RM
S. Milinković-Savić,Lazio,Italian Serie A,1,66000000,85,87,100000,26,1995-02-27,191,76,RCM
W. Ndidi,Leicester City,English Premier League,1,66500000,85,88,120000,24,1996-12-16,183,74,LDM
Oyarzabal,Real Sociedad,Spain Primera Division,1,77500000,85,89,57000,24,1997-04-21,181,79,LW
L. Martínez,Inter,Italian Serie A,1,78000000,85,89,145000,23,1997-08-22,174,72,LS
M. Rashford,Manchester United,English Premier League,1,77500000,85,89,150000,23,1997-10-31,186,70,SUB
A. Hakimi,Paris Saint-Germain,French Ligue 1,1,69500000,85,88,100000,22,1998-11-04,181,73,RB
M. de Ligt,Juventus,Italian Serie A,1,75000000,85,90,81000,21,1999-08-12,189,89,LCB
Z. Ibrahimović,AC Milan,Italian Serie A,1,14500000,84,84,51000,39,1981-10-03,195,95,SUB
Jesús Navas,Sevilla FC,Spain Primera Division,1,13000000,84,84,30000,35,1985-11-21,172,60,RB
Piqué,FC Barcelona,Spain Primera Division,1,13500000,84,84,175000,34,1987-02-02,194,85,LCB
D. Mertens,Napoli,Italian Serie A,1,20500000,84,84,105000,34,1987-05-06,169,61,SUB
G. Wijnaldum,Paris Saint-Germain,French Ligue 1,1,40500000,84,84,115000,30,1990-11-11,175,74,RCM
J. Henderson,Liverpool,English Premier League,1,29500000,84,84,140000,31,1990-06-17,182,80,RCM
Fernando,Sevilla FC,Spain Primera Division,1,21000000,84,84,43000,33,1987-07-25,183,76,CDM
K. Trippier,Atlético de Madrid,Spain Primera Division,1,36500000,84,84,74000,30,1990-09-19,173,69,SUB
Iago Aspas,RC Celta de Vigo,Spain Primera Division,1,27000000,84,84,46000,33,1987-08-01,176,67,RS
De Gea,Manchester United,English Premier League,1,28000000,84,84,120000,30,1990-11-07,192,82,GK
D. Alaba,Real Madrid CF,Spain Primera Division,1,35500000,84,84,195000,29,1992-06-24,180,78,LB
Luis Alberto,Lazio,Italian Serie A,1,42500000,84,84,95000,28,1992-09-28,183,74,LCM
D. Tadić,Ajax,Holland Eredivisie,1,33500000,84,84,32000,32,1988-11-20,181,76,LW
W. Ben Yedder,AS Monaco,French Ligue 1,1,41500000,84,84,88000,30,1990-08-12,170,68,ST
L. Digne,Everton,English Premier League,1,40500000,84,84,110000,27,1993-07-20,178,74,LB
J. Iličić,Atalanta,Italian Serie A,1,27000000,84,84,84000,33,1988-01-29,190,79,SUB
E. Martínez,Aston Villa,English Premier League,1,33500000,84,85,81000,28,1992-09-02,195,88,GK
H. Maguire,Manchester United,English Premier League,1,42500000,84,86,155000,28,1993-03-05,194,100,LCB
S. Savić,Atlético de Madrid,Spain Primera Division,1,34500000,84,84,74000,30,1991-01-08,187,80,RCB
M. Sabitzer,FC Bayern München,German 1. Bundesliga,1,48000000,84,85,110000,27,1994-03-17,178,76,SUB
L. Shaw,Manchester United,English Premier League,1,48500000,84,86,140000,25,1995-07-12,181,75,LB
J. Grealish,Manchester City,English Premier League,1,50500000,84,85,180000,25,1995-09-10,180,81,LW
M. Ginter,Borussia Mönchengladbach,German 1. Bundesliga,1,42500000,84,85,45000,27,1994-01-19,191,86,RCB
Felipe,Atlético de Madrid,Spain Primera Division,1,27500000,84,84,74000,32,1989-05-16,190,84,SUB
Y. Carrasco,Atlético de Madrid,Spain Primera Division,1,45000000,84,84,81000,27,1993-09-04,185,73,LM
F. Kostić,Eintracht Frankfurt,German 1. Bundesliga,1,42500000,84,84,52000,28,1992-11-01,184,82,LM
H. Ziyech,Chelsea,English Premier League,1,42500000,84,84,170000,28,1993-03-19,181,65,SUB
R. Guerreiro,Borussia Dortmund,German 1. Bundesliga,1,40500000,84,84,79000,27,1993-12-22,170,71,LB
Ricardo Pereira,Leicester City,English Premier League,1,40500000,84,84,130000,27,1993-10-06,175,70,RB
T. Werner,Chelsea,English Premier League,1,56500000,84,87,155000,25,1996-03-06,180,76,SUB
M. Maignan,AC Milan,Italian Serie A,1,49500000,84,89,45000,25,1995-07-03,191,89,GK
M. Brozović,Inter,Italian Serie A,1,37000000,84,84,130000,28,1992-11-16,181,68,CDM
Y. Tielemans,Leicester City,English Premier League,1,57000000,84,87,125000,24,1997-05-07,176,72,RDM
J. Giménez,Atlético de Madrid,Spain Primera Division,1,52000000,84,88,74000,26,1995-01-20,185,79,CB
N. Fekir,Real Betis Balompié,Spain Primera Division,1,45000000,84,84,42000,27,1993-07-18,173,75,CAM
L. Sané,FC Bayern München,German 1. Bundesliga,1,56000000,84,87,105000,25,1996-01-11,183,80,LM
N. Barella,Inter,Italian Serie A,1,63500000,84,89,120000,24,1997-02-07,172,68,RCM
M. Acuña,Sevilla FC,Spain Primera Division,1,37000000,84,84,45000,29,1991-10-28,172,69,LB
André Silva,RB Leipzig,German 1. Bundesliga,1,51000000,84,85,110000,25,1995-11-06,185,84,ST
F. Kessié,AC Milan,Italian Serie A,1,49500000,84,86,51000,24,1996-12-19,183,88,LDM
T. Hernández,AC Milan,Italian Serie A,1,62500000,84,90,51000,23,1997-10-06,184,81,LB
K. Havertz,Chelsea,English Premier League,1,94500000,84,92,130000,22,1999-06-11,188,82,SUB
P. Foden,Manchester City,English Premier League,1,94500000,84,92,125000,21,2000-05-28,171,69,SUB
Fernandinho,Manchester City,English Premier League,1,7000000,83,83,100000,36,1985-05-04,179,67,SUB
C. Vela,Los Angeles FC,USA Major League Soccer,1,29000000,83,83,17000,32,1989-03-01,177,77,RW
A. Witsel,Borussia Dortmund,German 1. Bundesliga,1,24000000,83,83,72000,32,1989-01-12,186,81,SUB
Sergio Asenjo,Villarreal CF,Spain Primera Division,1,18000000,83,83,37000,32,1989-06-28,189,87,SUB
S. Kjær,AC Milan,Italian Serie A,1,23500000,83,83,54000,32,1989-03-26,190,86,RCB
E. Džeko,Inter,Italian Serie A,1,15500000,83,83,105000,35,1986-03-17,193,80,RS
J. Boateng,Olympique Lyonnais,French Ligue 1,1,23500000,83,83,81000,32,1988-09-03,190,94,RES
T. Alderweireld,,,1,,83,83,,32,1989-03-02,186,81,
Azpilicueta,Chelsea,English Premier League,1,25000000,83,83,125000,31,1989-08-28,178,77,RWB
Paulinho,Al Ahli,Saudi Abdul L. Jameel League,1,28500000,83,83,61000,32,1988-07-25,183,80,LCM
Muniain,Athletic Club de Bilbao,Spain Primera Division,1,36500000,83,83,44000,28,1992-12-19,170,66,LM
Canales,Real Betis Balompié,Spain Primera Division,1,34500000,83,83,38000,30,1991-02-16,176,65,LM
L. Hrádecký,Bayer 04 Leverkusen,German 1. Bundesliga,1,19000000,83,83,55000,31,1989-11-24,192,83,GK
Alex Sandro,Juventus,Italian Serie A,1,31500000,83,83,95000,30,1991-01-26,180,80,LB
B. Leno,Arsenal,English Premier League,1,28000000,83,84,87000,29,1992-03-04,190,83,GK
K. Manolas,Napoli,Italian Serie A,1,30000000,83,83,80000,30,1991-06-14,189,83,RCB
H. Mkhitaryan,Roma,Italian Serie A,1,29500000,83,83,82000,32,1989-01-21,177,75,LM
J. Cuadrado,Juventus,Italian Serie A,1,19000000,83,83,95000,33,1988-05-26,179,72,RM
J. Matip,Liverpool,English Premier League,1,30500000,83,83,130000,29,1991-08-08,194,90,RCB
S. Coates,Sporting CP,Portuguese Liga ZON SAGRES,1,30000000,83,83,21000,30,1990-10-07,196,92,CB
F. Acerbi,Lazio,Italian Serie A,1,17500000,83,83,75000,33,1988-02-10,192,88,LCB
Allan,Everton,English Premier League,1,30500000,83,83,100000,30,1991-01-08,175,74,LDM
K. Volland,AS Monaco,French Ligue 1,1,37000000,83,83,83000,28,1992-07-30,179,85,RF
Morata,Juventus,Italian Serie A,1,37000000,83,83,84000,28,1992-10-23,190,84,ST
M. Icardi,Paris Saint-Germain,French Ligue 1,1,37000000,83,83,120000,28,1993-02-19,181,75,SUB
L. Spinazzola,Roma,Italian Serie A,1,33000000,83,83,72000,28,1993-03-25,186,75,RES
J. Stones,Manchester City,English Premier League,1,41000000,83,86,140000,27,1994-05-28,188,76,SUB
N. Pope,Burnley,English Premier League,1,25000000,83,83,45000,29,1992-04-19,199,76,GK
R. Jiménez,Wolverhampton Wanderers,English Premier League,1,35500000,83,83,120000,30,1991-05-05,188,81,ST
J. Pickford,Everton,English Premier League,1,33000000,83,85,83000,27,1994-03-07,185,77,GK
A. Rüdiger,Chelsea,English Premier League,1,34500000,83,84,130000,28,1993-03-03,190,85,LCB
L. Ocampos,Sevilla FC,Spain Primera Division,1,39500000,83,83,46000,26,1994-07-11,188,84,LW
M. Kovačić,Chelsea,English Premier League,1,41500000,83,84,135000,27,1994-05-06,176,80,SUB
T. Partey,Arsenal,English Premier League,1,36500000,83,83,115000,28,1993-06-13,185,77,RDM
Gayà,Valencia CF,Spain Primera Division,1,43500000,83,86,48000,26,1995-05-25,172,66,LB
T. Lemar,Atlético de Madrid,Spain Primera Division,1,48000000,83,86,71000,25,1995-11-12,171,66,LCM
P. Højbjerg,Tottenham Hotspur,English Premier League,1,43500000,83,86,105000,25,1995-08-05,185,84,RCM
Á. Correa,Atlético de Madrid,Spain Primera Division,1,48000000,83,86,80000,26,1995-03-09,171,70,SUB
D. Zapata,Atalanta,Italian Serie A,1,35500000,83,83,77000,30,1991-04-01,189,88,ST
A. Kramarić,TSG Hoffenheim,German 1. Bundesliga,1,35500000,83,83,59000,30,1991-06-19,177,73,CAM
Angeliño,RB Leipzig,German 1. Bundesliga,1,46000000,83,86,77000,24,1997-01-04,175,69,LB
L. Hernández,FC Bayern München,German 1. Bundesliga,1,44500000,83,86,85000,25,1996-02-14,184,79,SUB
Marco Asensio,Real Madrid CF,Spain Primera Division,1,48000000,83,86,190000,25,1996-01-21,182,76,SUB
W. Weghorst,VfL Wolfsburg,German 1. Bundesliga,1,37000000,83,83,95000,28,1992-08-07,197,84,ST
R. Gosens,Atalanta,Italian Serie A,1,36000000,83,83,65000,26,1994-07-05,183,76,LM
Merino,Real Sociedad,Spain Primera Division,1,50000000,83,87,47000,25,1996-06-22,189,83,RCM
P. Kimpembe,Paris Saint-Germain,French Ligue 1,1,45500000,83,87,90000,25,1995-08-13,189,80,SUB
F. Mendy,Real Madrid CF,Spain Primera Division,1,43500000,83,86,170000,26,1995-06-08,180,73,SUB
A. Wan-Bissaka,Manchester United,English Premier League,1,48500000,83,87,115000,23,1997-11-26,183,72,RB
Ronaldo Cabrais,Grêmio,Campeonato Brasileiro Série A,1,35500000,83,83,49000,29,1992-02-29,177,75,CAM
Arthur,Juventus,Italian Serie A,1,47000000,83,85,90000,24,1996-08-12,171,73,SUB
Gabriel Jesus,Manchester City,English Premier League,1,52500000,83,87,150000,24,1997-04-03,175,73,SUB
O. Dembélé,FC Barcelona,Spain Primera Division,1,55000000,83,88,165000,24,1997-05-15,178,67,RW
M. Mount,Chelsea,English Premier League,1,58500000,83,89,120000,22,1999-01-10,178,70,RW
É. Mendy,Chelsea,English Premier League,1,30000000,83,85,105000,29,1992-03-01,197,86,GK
F. Chiesa,Juventus,Italian Serie A,1,80500000,83,91,74000,23,1997-10-25,175,70,LM
F. Valverde,Real Madrid CF,Spain Primera Division,1,58000000,83,89,160000,22,1998-07-22,182,78,SUB
J. Koundé,Sevilla FC,Spain Primera Division,1,53000000,83,89,33000,22,1998-11-12,181,75,RCB
João Félix,Atlético de Madrid,Spain Primera Division,1,82000000,83,91,61000,21,1999-11-10,181,72,SUB
Pepe,FC Porto,Portuguese Liga ZON SAGRES,1,5500000,82,82,14000,38,1983-02-26,188,80,LCB
Raúl Albiol,Villarreal CF,Spain Primera Division,1,8000000,82,82,30000,35,1985-09-04,190,82,RCB
Ł. Fabiański,West Ham United,English Premier League,1,3400000,82,82,43000,36,1985-04-18,190,83,GK
S. Sirigu,Genoa,Italian Serie A,1,5000000,82,82,20000,34,1987-01-12,192,85,GK
I. Rakitić,Sevilla FC,Spain Primera Division,1,18500000,82,82,39000,33,1988-03-10,184,78,SUB
G. Bale,Real Madrid CF,Spain Primera Division,1,25000000,82,82,170000,31,1989-07-16,185,82,RW
Rui Patrício,Roma,Italian Serie A,1,10000000,82,82,51000,33,1988-02-15,190,84,GK
É. Banega,Al Shabab,Saudi Abdul L. Jameel League,1,15000000,82,82,46000,33,1988-06-29,174,75,CAM
M. Pjanić,Beşiktaş JK,Turkish Süper Lig,1,25000000,82,82,155000,31,1990-04-02,178,72,RCM
Yuri Berchiche,Athletic Club de Bilbao,Spain Primera Division,1,22000000,82,82,35000,31,1990-02-10,181,80,SUB
L. Stindl,Borussia Mönchengladbach,German 1. Bundesliga,1,24000000,82,82,41000,32,1988-08-26,181,80,CAM
Oscar,Shanghai Port FC,Chinese Super League,1,30000000,82,82,38000,29,1991-09-09,179,70,CAM
K. Trapp,Eintracht Frankfurt,German 1. Bundesliga,1,20500000,82,82,31000,30,1990-07-08,189,88,GK
Coutinho,FC Barcelona,Spain Primera Division,1,30000000,82,82,165000,29,1992-06-12,172,68,SUB
C. Eriksen,Inter,Italian Serie A,1,29500000,82,82,120000,29,1992-02-14,181,76,RES
D. Blind,Ajax,Holland Eredivisie,1,21000000,82,82,23000,31,1990-03-09,180,72,LB
M. Götze,PSV,Holland Eredivisie,1,30000000,82,82,29000,29,1992-06-03,177,71,CAM
A. Areola,West Ham United,English Premier League,1,26000000,82,84,75000,28,1993-02-27,195,94,SUB
J. Corona,FC Porto,Portuguese Liga ZON SAGRES,1,30500000,82,82,22000,28,1993-01-06,173,66,SUB
A. Lacazette,Arsenal,English Premier League,1,30000000,82,82,110000,30,1991-05-28,175,73,SUB
I. Gueye,Paris Saint-Germain,French Ligue 1,1,21500000,82,82,88000,31,1989-09-26,174,66,CM
Mário Fernandes,PFC CSKA Moscow,Russian Premier League,1,26500000,82,82,57000,30,1990-09-19,187,80,RB
O. Baumann,TSG Hoffenheim,German 1. Bundesliga,1,16000000,82,82,37000,31,1990-06-02,187,82,GK
Neto,FC Barcelona,Spain Primera Division,1,16000000,82,82,115000,31,1989-07-19,190,84,SUB
Isco,Real Madrid CF,Spain Primera Division,1,30000000,82,82,175000,29,1992-04-21,176,79,SUB
W. Zaha,Crystal Palace,English Premier League,1,31000000,82,82,85000,28,1992-11-10,180,66,RW
L. Muriel,Atalanta,Italian Serie A,1,30000000,82,82,70000,30,1991-04-16,179,79,SUB
A. Lopes,Olympique Lyonnais,French Ligue 1,1,23000000,82,83,60000,30,1990-10-01,184,81,GK
Campaña,Levante Unión Deportiva,Spain Primera Division,1,30500000,82,82,43000,28,1993-05-31,179,70,LCM
Gabriel Paulista,Valencia CF,Spain Primera Division,1,25000000,82,82,44000,30,1990-11-26,185,72,RCB
J. Veretout,Roma,Italian Serie A,1,29500000,82,83,66000,28,1993-03-01,177,67,LDM
Suso,Sevilla FC,Spain Primera Division,1,32500000,82,82,42000,27,1993-11-19,176,70,RW
T. Hazard,Borussia Dortmund,German 1. Bundesliga,1,30500000,82,82,75000,28,1993-03-29,175,71,SUB
Juan Bernat,Paris Saint-Germain,French Ligue 1,1,27500000,82,82,90000,28,1993-03-01,170,67,LB
Portu,Real Sociedad,Spain Primera Division,1,30000000,82,82,51000,29,1992-05-21,167,66,SUB
H. Çalhanoğlu,Inter,Italian Serie A,1,35000000,82,83,115000,27,1994-02-08,178,76,LCM
E. Can,Borussia Dortmund,German 1. Bundesliga,1,35000000,82,83,72000,27,1994-01-12,186,86,SUB
Saúl,Chelsea,English Premier League,1,39500000,82,85,68000,26,1994-11-21,184,75,SUB
M. de Roon,Atalanta,Italian Serie A,1,25500000,82,82,59000,30,1991-03-29,185,76,RCM
Y. Bounou,Sevilla FC,Spain Primera Division,1,20500000,82,82,29000,30,1991-04-05,192,78,GK
Grimaldo,SL Benfica,Portuguese Liga ZON SAGRES,1,37000000,82,85,18000,25,1995-09-20,171,69,LWB
A. Romagnoli,AC Milan,Italian Serie A,1,31500000,82,83,49000,26,1995-01-12,185,75,SUB
D. Berardi,U.S. Sassuolo Calcio,Italian Serie A,1,33500000,82,82,51000,26,1994-08-01,183,72,RM
N. Tagliafico,Ajax,Holland Eredivisie,1,27500000,82,82,24000,28,1992-08-31,172,65,SUB
P. Gollini,Tottenham Hotspur,English Premier League,1,35000000,82,87,48000,26,1995-03-18,194,94,SUB
N. Süle,FC Bayern München,German 1. Bundesliga,1,40500000,82,87,78000,25,1995-09-03,195,99,LCB
Alex Telles,Manchester United,English Premier League,1,27500000,82,82,130000,28,1992-12-15,181,71,SUB
Anderson Talisca,Al Nassr,Saudi Abdul L. Jameel League,1,35500000,82,83,61000,27,1994-02-01,190,80,CAM
R. De Paul,Atlético de Madrid,Spain Primera Division,1,35000000,82,83,68000,27,1994-05-24,180,70,SUB
Rafa,SL Benfica,Portuguese Liga ZON SAGRES,1,30500000,82,82,22000,28,1993-05-17,170,63,RM
Diego Carlos,Sevilla FC,Spain Primera Division,1,30500000,82,84,37000,28,1993-03-15,185,86,LCB
A. Rebić,AC Milan,Italian Serie A,1,32500000,82,82,54000,27,1993-09-21,185,78,LM
C. Lenglet,FC Barcelona,Spain Primera Division,1,37500000,82,86,145000,26,1995-06-17,186,81,SUB
J. Maddison,Leicester City,English Premier League,1,41500000,82,85,100000,24,1996-11-23,175,73,CAM
M. Locatelli,Juventus,Italian Serie A,1,42000000,82,87,74000,23,1998-01-08,185,75,RDM
M. Ødegaard,Arsenal,English Premier League,1,49000000,82,88,89000,22,1998-12-17,178,68,CAM
Rúben Neves,Wolverhampton Wanderers,English Premier League,1,46000000,82,87,89000,24,1997-03-13,180,80,RCM
Diogo Jota,Liverpool,English Premier League,1,46000000,82,87,120000,24,1996-12-04,178,73,SUB
J. Gomez,Liverpool,English Premier League,1,43500000,82,88,100000,24,1997-05-23,188,77,SUB
Fabián,Napoli,Italian Serie A,1,42000000,82,86,77000,25,1996-04-03,189,70,RCM
C. Pulisic,Chelsea,English Premier League,1,49000000,82,88,120000,22,1998-09-18,177,69,LW
Palhinha,Sporting CP,Portuguese Liga ZON SAGRES,1,41000000,82,87,18000,25,1995-07-09,190,82,LCM
D. Upamecano,FC Bayern München,German 1. Bundesliga,1,64000000,82,90,70000,22,1998-10-27,186,90,RCB
Mario Hermoso,Atlético de Madrid,Spain Primera Division,1,35500000,82,85,62000,26,1995-06-18,185,76,LCB
